Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,71.550003,72.059998,68.330002,69.150002,63.883396,8047300
2016-01-07,66.599998,70.279999,66.099998,67.160004,62.044968,7120100
2016-01-08,68.559998,69.120003,66.550003,66.889999,61.795509,7171000
2016-01-11,67.180000,68.000000,64.930000,66.050003,61.019505,5140200
2016-01-12,66.720001,67.809998,65.059998,66.629997,61.555325,3352400
2016-01-13,64.199997,65.660004,61.900002,62.160000,57.425770,7247200
2016-01-14,62.009998,65.139999,60.070000,64.540001,59.624512,5674200
2016-01-15,61.099998,62.450001,59.919998,60.669998,56.049255,6045100
2016-01-19,62.380001,63.340000,59.869999,60.380001,55.781349,4928400
2016-01-20,59.369999,62.310001,58.500000,61.619999,56.926884,5997300
2016-01-21,62.230000,64.730003,61.520000,63.290001,58.469711,4252400
2016-01-22,65.000000,67.419998,64.970001,67.029999,61.924858,5714300
2016-01-25,66.849998,66.919998,65.489998,65.589996,60.594521,3069000
2016-01-26,65.750000,67.040001,64.989998,65.800003,60.788536,2789400
2016-01-27,65.680000,66.459999,61.709999,62.139999,57.407295,5848300
2016-01-28,62.770000,64.900002,62.610001,64.790001,59.855465,7098900
2016-01-29,68.820000,69.769997,66.220001,68.919998,63.670918,8200700
2016-02-01,68.180000,70.389999,67.519997,69.620003,64.317612,4726300
2016-02-02,69.070000,69.199997,66.379997,66.480003,61.416748,3834900
2016-02-03,67.800003,68.790001,64.879997,66.190002,61.148830,4893800
2016-02-04,66.580002,66.790001,65.120003,66.000000,60.973312,4337300
2016-02-05,64.870003,65.849998,61.000000,62.160000,57.425770,6333700
2016-02-08,60.810001,61.189999,58.230000,59.299999,54.783596,5708700
2016-02-09,58.240002,60.080002,57.459999,57.700001,53.540199,4610800
2016-02-10,58.680000,59.759998,57.009998,57.200001,53.076241,3450100
2016-02-11,56.099998,56.970001,54.500000,55.849998,51.823566,6580100
2016-02-12,57.060001,57.959999,56.009998,57.630001,53.475243,3899500
2016-02-16,59.270000,62.439999,59.139999,61.439999,57.010559,4853500
2016-02-17,61.820000,64.879997,61.570000,63.709999,59.116909,4505700
2016-02-18,64.430000,64.489998,61.099998,62.070000,57.595150,2995900
2016-02-19,61.509998,63.500000,61.290001,63.029999,58.485935,3374700
2016-02-22,63.599998,65.190002,63.290001,64.290001,59.655098,3207200
2016-02-23,63.740002,63.759998,62.070000,62.619999,58.105495,2455700
2016-02-24,61.580002,63.860001,61.110001,63.709999,59.116909,2673200
2016-02-25,63.529999,64.559998,62.590000,64.550003,59.896366,2550000
2016-02-26,65.080002,65.400002,64.430000,64.900002,60.221123,2226600
2016-02-29,65.879997,68.790001,65.540001,66.449997,61.659370,5593600
2016-03-01,67.620003,70.419998,67.040001,70.400002,65.324608,4636600
2016-03-02,69.940002,70.849998,68.449997,68.980003,64.006981,3967800
2016-03-03,68.419998,70.489998,68.300003,70.099998,65.046227,4119300
2016-03-04,71.180000,75.110001,70.330002,73.010002,67.746460,7334800
2016-03-07,72.160004,74.730003,71.809998,72.919998,67.662926,4220400
2016-03-08,72.000000,72.099998,69.250000,69.910004,64.869942,4802400
2016-03-09,70.320000,71.910004,69.959999,71.019997,65.899910,3002500
2016-03-10,71.500000,72.360001,68.580002,69.970001,64.925606,3640500
2016-03-11,70.830002,72.800003,70.620003,72.769997,67.523750,3359200
2016-03-14,72.169998,73.209999,71.519997,72.790001,67.542290,3010400
2016-03-15,73.519997,74.400002,72.349998,73.610001,68.303200,3822400
2016-03-16,73.000000,75.050003,72.900002,75.000000,69.592972,4199000
2016-03-17,74.260002,75.160004,73.080002,74.919998,69.518745,5458900
2016-03-18,75.410004,77.129997,74.860001,77.019997,71.467354,4479700
2016-03-21,76.680000,77.239998,75.430000,77.209999,71.643654,2554400
2016-03-22,76.099998,77.000000,75.610001,76.889999,71.346725,2425300
2016-03-23,76.449997,76.720001,75.830002,76.300003,70.799263,2946100
2016-03-24,75.570000,76.239998,75.010002,76.199997,70.706459,2286600
2016-03-28,76.440002,77.180000,75.720001,76.919998,71.374573,2114800
2016-03-29,74.510002,76.879997,73.610001,76.470001,70.956993,4270000
2016-03-30,76.989998,78.220001,76.800003,77.849998,72.237518,2690100
2016-03-31,77.610001,78.290001,77.309998,77.900002,72.283897,2950200
2016-04-01,77.160004,78.230003,76.320000,78.180000,72.543724,2015700
2016-04-04,78.360001,78.459999,76.440002,77.500000,71.912735,2054100
2016-04-05,76.449997,77.379997,76.139999,77.070000,71.513748,2075100
2016-04-06,76.870003,78.449997,75.220001,78.209999,72.571548,2532000
2016-04-07,77.580002,77.720001,76.570000,77.309998,71.736427,4515600
2016-04-08,78.000000,78.110001,76.599998,77.360001,71.782822,4375300
2016-04-11,77.730003,78.000000,76.019997,76.070000,70.585838,2003500
2016-04-12,76.230003,76.349998,73.660004,74.639999,69.258919,3768400
2016-04-13,75.260002,77.220001,75.000000,77.070000,71.513748,2004700
2016-04-14,75.889999,76.900002,74.589996,76.769997,71.235367,2421900
2016-04-15,76.639999,77.160004,74.949997,75.059998,69.648659,3255600
2016-04-18,74.400002,75.209999,73.900002,74.739998,69.351738,2340200
2016-04-19,75.150002,75.150002,71.879997,72.230003,67.022690,3745300
2016-04-20,71.839996,73.510002,70.889999,72.839996,67.588699,3110200
2016-04-21,72.589996,72.790001,71.070000,71.690002,66.521622,2909300
2016-04-22,71.580002,72.150002,70.559998,71.500000,66.345322,2645100
2016-04-25,71.029999,71.470001,70.010002,70.720001,65.621529,2589400
2016-04-26,71.339996,72.500000,71.029999,71.699997,66.530869,2557100
2016-04-27,68.680000,72.839996,68.480003,72.320000,67.106186,6350500
2016-04-28,71.879997,73.589996,71.309998,71.779999,66.605110,4429200
2016-04-29,70.419998,72.010002,66.040001,66.820000,62.002705,8592000
2016-05-02,66.769997,67.279999,65.699997,67.120003,62.281071,3873300
2016-05-03,66.940002,67.389999,66.540001,67.019997,62.188274,3413600
2016-05-04,66.489998,67.010002,64.779999,65.230003,60.527344,2505900
2016-05-05,66.120003,66.190002,64.250000,64.349998,59.710766,2815600
2016-05-06,64.199997,64.650002,62.619999,64.629997,59.970592,3016300
2016-05-09,64.419998,65.570000,64.419998,65.050003,60.360313,2494300
2016-05-10,64.900002,65.110001,63.750000,64.860001,60.425522,2398600
2016-05-11,64.660004,65.309998,64.349998,64.589996,60.173981,2168600
2016-05-12,64.849998,64.949997,60.919998,61.660000,57.444302,5182300
2016-05-13,60.970001,62.240002,60.430000,60.750000,56.596527,4892400
2016-05-16,61.110001,62.860001,60.959999,62.419998,58.152344,3261600
2016-05-17,62.130001,63.580002,61.939999,62.310001,58.049870,3119200
2016-05-18,62.099998,64.360001,62.009998,63.570000,59.223717,2631600
2016-05-19,63.000000,63.840000,61.830002,62.799999,58.506363,2578700
2016-05-20,63.470001,64.800003,62.910000,64.559998,60.146034,2236800
2016-05-23,65.849998,67.459999,65.760002,65.809998,61.310570,3368100
2016-05-24,66.070000,66.669998,65.849998,66.459999,61.916126,2768000
2016-05-25,66.449997,66.779999,65.110001,66.269997,61.739113,2387400
2016-05-26,66.000000,66.800003,65.889999,66.169998,61.645947,1699700
2016-05-27,65.930000,66.550003,65.809998,66.500000,61.953392,1128000
2016-05-31,66.320000,67.099998,66.300003,66.760002,62.195621,1756800
2016-06-01,66.370003,67.639999,66.370003,67.269997,62.670742,2039800
2016-06-02,67.029999,67.559998,66.260002,66.580002,62.027935,2172300
2016-06-03,67.739998,68.500000,66.269997,66.940002,62.363312,3682600
2016-06-06,66.940002,67.260002,66.059998,66.110001,61.590057,1938300
2016-06-07,66.389999,68.959999,66.169998,68.669998,63.975037,3066200
2016-06-08,68.529999,68.980003,67.709999,68.379997,63.704845,2093000
2016-06-09,66.500000,68.089996,66.349998,67.970001,63.322887,2504900
2016-06-10,66.910004,67.080002,65.419998,65.550003,61.068348,2417000
2016-06-13,65.019997,66.129997,64.820000,64.959999,60.518688,1253000
2016-06-14,64.750000,65.190002,64.010002,65.010002,60.565273,1570200
2016-06-15,65.190002,65.510002,64.760002,64.989998,60.546631,1597100
2016-06-16,64.250000,64.940002,63.360001,64.779999,60.350990,1733800
2016-06-17,64.739998,64.739998,63.310001,63.970001,59.596375,2401400
2016-06-20,64.949997,66.620003,64.739998,65.949997,61.440994,3590100
2016-06-21,66.139999,67.099998,65.339996,65.459999,60.984493,1638400
2016-06-22,65.410004,66.769997,65.290001,65.349998,60.882019,1833700
2016-06-23,66.230003,67.230003,65.830002,67.209999,62.614849,1462900
2016-06-24,64.000000,65.089996,61.369999,61.610001,57.397724,3913500
2016-06-27,60.160000,60.799999,57.110001,58.009998,54.043850,5188700
2016-06-28,59.290001,60.770000,59.130001,60.259998,56.140018,3095500
2016-06-29,61.080002,62.230000,60.750000,61.730000,57.509518,2155700
2016-06-30,62.029999,63.310001,61.680000,63.279999,58.953541,3375700
2016-07-01,62.480000,63.220001,61.869999,62.599998,58.320042,2110200
2016-07-05,60.669998,60.740002,58.080002,58.820000,54.798477,3668100
2016-07-06,58.250000,59.259998,57.189999,59.160000,55.115231,3848000
2016-07-07,59.389999,61.200001,59.340000,60.889999,56.726944,2860000
2016-07-08,61.669998,63.150002,61.520000,62.910000,58.608845,2299100
2016-07-11,63.599998,65.199997,63.570000,64.639999,60.220570,2179200
2016-07-12,65.489998,66.419998,65.209999,65.800003,61.301258,2073700
2016-07-13,66.440002,66.480003,65.080002,65.349998,60.882019,1940300
2016-07-14,66.309998,67.599998,65.480003,67.389999,62.782539,2088400
2016-07-15,67.720001,67.739998,67.019997,67.389999,62.782539,1791400
2016-07-18,68.180000,68.949997,67.709999,68.699997,64.002983,1951400
2016-07-19,68.330002,68.550003,67.809998,68.330002,63.658287,1464400
2016-07-20,68.470001,69.800003,67.959999,69.489998,64.738983,3220800
2016-07-21,70.000000,71.330002,69.760002,70.919998,66.071198,5387400
2016-07-22,66.739998,67.150002,62.400002,64.809998,60.378941,12772200
2016-07-25,64.989998,65.519997,64.680000,64.940002,60.500050,4223700
2016-07-26,65.360001,66.379997,64.050003,65.870003,61.366467,4316900
2016-07-27,68.139999,68.190002,66.220001,66.470001,61.925446,4701500
2016-07-28,66.169998,66.589996,65.199997,66.470001,61.925446,2332100
2016-07-29,66.480003,66.699997,65.500000,66.019997,61.506222,1577000
2016-08-01,65.919998,66.870003,65.800003,66.139999,61.617996,2073400
2016-08-02,65.570000,65.959999,64.430000,65.040001,60.850830,2304100
2016-08-03,63.330002,65.029999,63.299999,64.389999,60.242695,3477200
2016-08-04,64.449997,65.260002,64.019997,65.160004,60.963097,3069800
2016-08-05,65.589996,66.570000,65.139999,66.550003,62.263573,2178500
2016-08-08,66.570000,67.220001,65.720001,65.940002,61.692860,1236300
2016-08-09,66.449997,67.639999,66.330002,67.000000,62.684570,1724800
2016-08-10,67.029999,67.040001,65.699997,66.410004,62.132584,1385400
2016-08-11,66.379997,67.580002,66.220001,67.410004,63.068176,1580000
2016-08-12,67.449997,67.849998,67.010002,67.529999,63.180450,1452200
2016-08-15,67.610001,69.589996,67.550003,69.500000,65.023560,2218300
2016-08-16,69.349998,69.809998,68.599998,69.599998,65.117111,2404300
2016-08-17,69.699997,70.419998,69.199997,70.190002,65.669121,3107200
2016-08-18,70.480003,72.059998,70.290001,71.800003,67.175423,3745500
2016-08-19,71.559998,73.400002,71.559998,72.290001,67.633865,3110000
2016-08-22,72.339996,72.889999,71.940002,72.620003,67.942581,1735700
2016-08-23,73.129997,73.900002,72.889999,73.779999,69.027878,1771300
2016-08-24,73.949997,74.309998,72.980003,73.290001,68.569450,2138500
2016-08-25,73.160004,74.750000,73.110001,74.330002,69.542465,2791300
2016-08-26,74.349998,75.000000,73.739998,74.839996,70.019615,2630300
2016-08-29,74.790001,75.650002,74.500000,75.220001,70.375130,2021900
2016-08-30,74.400002,75.790001,73.839996,74.199997,69.420845,3899200
2016-08-31,74.129997,75.239998,73.900002,74.860001,70.038307,2113900
2016-09-01,74.790001,75.190002,74.209999,75.089996,70.253525,2094400
2016-09-02,75.250000,75.430000,74.209999,74.620003,69.813782,1508800
2016-09-06,74.290001,74.519997,72.250000,73.010002,68.307503,4263600
2016-09-07,73.180000,73.769997,71.570000,72.050003,67.409309,3401000
2016-09-08,71.930000,71.940002,70.839996,71.430000,66.829262,3039400
2016-09-09,70.510002,70.690002,66.059998,66.760002,62.460037,7590700
2016-09-12,66.000000,68.580002,65.760002,68.339996,63.938278,4484100
2016-09-13,68.500000,70.449997,68.250000,69.360001,64.892570,4815800
2016-09-14,69.730003,72.430000,69.510002,72.400002,67.736778,5304900
2016-09-15,73.000000,77.250000,72.980003,77.019997,72.059189,7839200
2016-09-16,77.150002,77.239998,75.000000,76.070000,71.170395,5447700
2016-09-19,76.739998,77.879997,75.790001,76.089996,71.189095,2554500
2016-09-20,76.300003,76.360001,75.019997,75.720001,70.842934,2729000
2016-09-21,76.190002,77.000000,75.699997,76.739998,71.797218,2552400
2016-09-22,77.279999,77.440002,76.370003,76.900002,71.946930,1736500
2016-09-23,76.680000,76.910004,74.059998,74.769997,69.954124,3570300
2016-09-26,73.940002,74.419998,72.730003,72.820000,68.129707,3044600
2016-09-27,72.949997,73.970001,72.349998,73.919998,69.158882,2408600
2016-09-28,74.839996,75.639999,73.849998,74.269997,69.486336,1938100
2016-09-29,73.790001,74.430000,72.059998,73.260002,68.541367,3419800
2016-09-30,73.910004,76.320000,73.879997,76.139999,71.235870,4110200
2016-10-03,75.760002,76.769997,75.160004,75.330002,70.478058,2286000
2016-10-04,75.400002,77.169998,75.400002,76.589996,71.656898,2962000
2016-10-05,77.150002,78.190002,76.809998,77.750000,72.742188,2111300
2016-10-06,78.180000,79.419998,77.709999,79.339996,74.229774,2603900
2016-10-07,79.360001,79.570000,77.629997,79.370003,74.257843,2984800
2016-10-10,79.779999,81.190002,79.610001,80.150002,74.987610,2327500
2016-10-11,80.709999,82.279999,78.660004,79.430000,74.313995,5012700
2016-10-12,79.459999,79.510002,78.150002,78.820000,73.743248,2056100
2016-10-13,77.980003,78.029999,76.199997,77.410004,72.424088,2204700
2016-10-14,77.860001,79.489998,77.440002,77.629997,72.629921,2067900
2016-10-17,77.629997,78.139999,76.480003,76.699997,71.759796,1726900
2016-10-18,78.099998,78.370003,77.529999,77.650002,72.648628,1112200
2016-10-19,77.190002,78.029999,76.769997,77.910004,72.891869,1071900
2016-10-20,77.720001,78.500000,77.050003,78.089996,73.060265,1264700
2016-10-21,77.750000,78.089996,76.870003,77.470001,72.480209,1900500
2016-10-24,78.010002,79.190002,78.010002,78.489998,73.434517,1728000
